X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Timestamp
175,11.046,Valid,194,Valid,8/27/2020 5:33:59 AM
188,11.094,Valid,193,Valid,8/27/2020 5:34:00 AM
196,11.094,Valid,193,Valid,8/27/2020 5:34:01 AM
207,11.143,Valid,192,Valid,8/27/2020 5:34:02 AM
217,11.143,Valid,191,Valid,8/27/2020 5:34:03 AM
227,11.094,Valid,191,Valid,8/27/2020 5:34:04 AM
236,11.094,Valid,191,Valid,8/27/2020 5:34:05 AM
247,11.094,Valid,190,Valid,8/27/2020 5:34:06 AM
256,11.094,Valid,190,Valid,8/27/2020 5:34:07 AM
266,10.997,Valid,190,Valid,8/27/2020 5:34:09 AM
276,10.949,Valid,189,Valid,8/27/2020 5:34:10 AM
287,10.997,Valid,190,Valid,8/27/2020 5:34:11 AM
296,10.997,Valid,190,Valid,8/27/2020 5:34:12 AM
307,10.949,Valid,189,Valid,8/27/2020 5:34:13 AM
317,10.852,Valid,189,Valid,8/27/2020 5:34:14 AM
326,10.852,Valid,189,Valid,8/27/2020 5:34:15 AM
337,10.755,Valid,189,Valid,8/27/2020 5:34:17 AM
346,10.852,Valid,188,Valid,8/27/2020 5:34:18 AM
357,10.852,Valid,188,Valid,8/27/2020 5:34:19 AM
366,10.755,Valid,188,Valid,8/27/2020 5:34:20 AM
377,10.755,Valid,188,Valid,8/27/2020 5:34:21 AM
387,10.61,Valid,187,Valid,8/27/2020 5:34:22 AM
397,10.61,Valid,186,Valid,8/27/2020 5:34:24 AM
407,10.61,Valid,186,Valid,8/27/2020 5:34:25 AM
417,10.561,Valid,185,Valid,8/27/2020 5:34:26 AM
427,10.61,Valid,186,Valid,8/27/2020 5:34:27 AM
437,10.561,Valid,185,Valid,8/27/2020 5:34:28 AM
447,10.465,Valid,185,Valid,8/27/2020 5:34:30 AM
457,10.561,Valid,185,Valid,8/27/2020 5:34:31 AM
467,10.561,Valid,184,Valid,8/27/2020 5:34:32 AM
477,10.561,Valid,184,Valid,8/27/2020 5:34:33 AM
487,10.561,Valid,183,Valid,8/27/2020 5:34:35 AM
497,10.658,Valid,181,Valid,8/27/2020 5:34:36 AM
507,10.755,Valid,181,Valid,8/27/2020 5:34:37 AM
517,11.143,Valid,180,Valid,8/27/2020 5:34:38 AM
527,11.433,Valid,180,Valid,8/27/2020 5:34:40 AM
537,11.966,Valid,180,Valid,8/27/2020 5:34:41 AM
547,12.305,Valid,183,Valid,8/27/2020 5:34:42 AM
557,12.063,Valid,186,Valid,8/27/2020 5:34:44 AM
567,11.869,Valid,187,Valid,8/27/2020 5:34:45 AM
578,11.821,Valid,188,Valid,8/27/2020 5:34:46 AM
587,11.579,Valid,190,Valid,8/27/2020 5:34:48 AM
597,11.046,Valid,192,Valid,8/27/2020 5:34:49 AM
607,10.465,Valid,191,Valid,8/27/2020 5:34:50 AM
618,10.222,Valid,190,Valid,8/27/2020 5:34:52 AM
628,9.932,Valid,190,Valid,8/27/2020 5:34:53 AM
637,9.592,Valid,190,Valid,8/27/2020 5:34:55 AM
648,9.205,Valid,189,Valid,8/27/2020 5:34:57 AM
658,8.963,Valid,187,Valid,8/27/2020 5:34:59 AM
667,9.156,Valid,187,Valid,8/27/2020 5:35:02 AM
678,9.06,Valid,188,Valid,8/27/2020 5:35:05 AM
687,9.108,Valid,189,Valid,8/27/2020 5:35:10 AM
698,8.333,Valid,190,Valid,8/27/2020 5:35:20 AM
688,9.786,Valid,194,Valid,8/27/2020 5:47:17 AM
678,9.932,Valid,193,Valid,8/27/2020 5:47:21 AM
668,10.319,Valid,192,Valid,8/27/2020 5:47:24 AM
658,10.513,Valid,193,Valid,8/27/2020 5:47:28 AM
648,10.755,Valid,194,Valid,8/27/2020 5:47:31 AM
638,10.804,Valid,195,Valid,8/27/2020 5:47:35 AM
628,11.094,Valid,197,Valid,8/27/2020 5:47:39 AM
618,11.53,Valid,197,Valid,8/27/2020 5:47:43 AM
608,11.821,Valid,197,Valid,8/27/2020 5:47:48 AM
598,12.063,Valid,198,Valid,8/27/2020 5:47:52 AM
588,12.645,Valid,198,Valid,8/27/2020 5:47:56 AM
578,13.226,Valid,197,Valid,8/27/2020 5:48:01 AM
568,13.42,Valid,195,Valid,8/27/2020 5:48:06 AM
558,13.71,Valid,193,Valid,8/27/2020 5:48:11 AM
548,13.759,Valid,192,Valid,8/27/2020 5:48:16 AM
538,13.662,Valid,190,Valid,8/27/2020 5:48:21 AM
528,13.904,Valid,188,Valid,8/27/2020 5:48:26 AM
518,13.517,Valid,186,Valid,8/27/2020 5:48:32 AM
508,12.742,Valid,186,Valid,8/27/2020 5:48:38 AM
498,12.451,Valid,186,Valid,8/27/2020 5:48:44 AM
488,12.257,Valid,187,Valid,8/27/2020 5:48:50 AM
478,12.209,Valid,187,Valid,8/27/2020 5:48:56 AM
468,12.112,Valid,188,Valid,8/27/2020 5:49:03 AM
458,11.966,Valid,189,Valid,8/27/2020 5:49:10 AM
