Machine Name,Unidad_1
Point Name,39VS-22 (T1Y)
Comp,
Probe Angle,45° Left
X-Axis Unit,rpm
Y-Axis Unit,µm pp
Variable,1X
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Timestamp
175,11.627,Valid,103,Valid,8/27/2020 5:33:59 AM
188,11.676,Valid,103,Valid,8/27/2020 5:34:00 AM
196,11.579,Valid,103,Valid,8/27/2020 5:34:01 AM
207,11.482,Valid,103,Valid,8/27/2020 5:34:02 AM
217,11.53,Valid,103,Valid,8/27/2020 5:34:03 AM
227,11.482,Valid,103,Valid,8/27/2020 5:34:04 AM
236,11.385,Valid,103,Valid,8/27/2020 5:34:05 AM
247,11.385,Valid,103,Valid,8/27/2020 5:34:06 AM
256,11.337,Valid,102,Valid,8/27/2020 5:34:07 AM
266,11.337,Valid,102,Valid,8/27/2020 5:34:09 AM
276,11.24,Valid,102,Valid,8/27/2020 5:34:10 AM
287,11.24,Valid,102,Valid,8/27/2020 5:34:11 AM
296,11.24,Valid,102,Valid,8/27/2020 5:34:12 AM
307,11.143,Valid,101,Valid,8/27/2020 5:34:13 AM
317,11.143,Valid,101,Valid,8/27/2020 5:34:14 AM
326,11.046,Valid,101,Valid,8/27/2020 5:34:15 AM
337,10.997,Valid,101,Valid,8/27/2020 5:34:17 AM
346,10.997,Valid,101,Valid,8/27/2020 5:34:18 AM
357,10.901,Valid,100,Valid,8/27/2020 5:34:19 AM
366,10.901,Valid,100,Valid,8/27/2020 5:34:20 AM
377,10.804,Valid,101,Valid,8/27/2020 5:34:21 AM
387,10.804,Valid,101,Valid,8/27/2020 5:34:22 AM
397,10.707,Valid,100,Valid,8/27/2020 5:34:24 AM
407,10.561,Valid,100,Valid,8/27/2020 5:34:25 AM
417,10.561,Valid,100,Valid,8/27/2020 5:34:26 AM
427,10.465,Valid,99,Valid,8/27/2020 5:34:27 AM
437,10.271,Valid,99,Valid,8/27/2020 5:34:28 AM
447,10.174,Valid,99,Valid,8/27/2020 5:34:30 AM
457,10.077,Valid,99,Valid,8/27/2020 5:34:31 AM
467,9.932,Valid,98,Valid,8/27/2020 5:34:32 AM
477,9.738,Valid,97,Valid,8/27/2020 5:34:33 AM
487,9.447,Valid,97,Valid,8/27/2020 5:34:35 AM
497,9.302,Valid,94,Valid,8/27/2020 5:34:36 AM
507,9.108,Valid,93,Valid,8/27/2020 5:34:37 AM
517,8.672,Valid,90,Valid,8/27/2020 5:34:38 AM
527,8.72,Valid,84,Valid,8/27/2020 5:34:40 AM
537,9.253,Valid,80,Valid,8/27/2020 5:34:41 AM
547,9.883,Valid,78,Valid,8/27/2020 5:34:42 AM
557,10.658,Valid,79,Valid,8/27/2020 5:34:44 AM
567,10.804,Valid,80,Valid,8/27/2020 5:34:45 AM
578,11.288,Valid,80,Valid,8/27/2020 5:34:46 AM
587,11.579,Valid,80,Valid,8/27/2020 5:34:48 AM
597,12.015,Valid,83,Valid,8/27/2020 5:34:49 AM
607,11.966,Valid,84,Valid,8/27/2020 5:34:50 AM
618,11.482,Valid,84,Valid,8/27/2020 5:34:52 AM
628,11.579,Valid,84,Valid,8/27/2020 5:34:53 AM
637,11.482,Valid,84,Valid,8/27/2020 5:34:55 AM
648,11.482,Valid,84,Valid,8/27/2020 5:34:57 AM
658,11.191,Valid,83,Valid,8/27/2020 5:34:59 AM
667,11.288,Valid,78,Valid,8/27/2020 5:35:02 AM
678,12.402,Valid,76,Valid,8/27/2020 5:35:05 AM
687,12.79,Valid,71,Valid,8/27/2020 5:35:10 AM
698,12.548,Valid,72,Valid,8/27/2020 5:35:20 AM
688,13.323,Valid,82,Valid,8/27/2020 5:47:17 AM
678,12.838,Valid,85,Valid,8/27/2020 5:47:21 AM
668,11.821,Valid,85,Valid,8/27/2020 5:47:24 AM
658,11.724,Valid,87,Valid,8/27/2020 5:47:28 AM
648,12.305,Valid,86,Valid,8/27/2020 5:47:31 AM
638,12.305,Valid,88,Valid,8/27/2020 5:47:35 AM
628,13.081,Valid,91,Valid,8/27/2020 5:47:39 AM
618,13.081,Valid,90,Valid,8/27/2020 5:47:43 AM
608,13.081,Valid,90,Valid,8/27/2020 5:47:48 AM
598,13.274,Valid,90,Valid,8/27/2020 5:47:52 AM
588,13.468,Valid,88,Valid,8/27/2020 5:47:56 AM
578,13.129,Valid,86,Valid,8/27/2020 5:48:01 AM
568,12.548,Valid,86,Valid,8/27/2020 5:48:06 AM
558,12.063,Valid,84,Valid,8/27/2020 5:48:11 AM
548,12.015,Valid,85,Valid,8/27/2020 5:48:16 AM
538,11.337,Valid,85,Valid,8/27/2020 5:48:21 AM
528,10.901,Valid,84,Valid,8/27/2020 5:48:26 AM
518,10.077,Valid,87,Valid,8/27/2020 5:48:32 AM
508,9.689,Valid,94,Valid,8/27/2020 5:48:38 AM
498,9.932,Valid,97,Valid,8/27/2020 5:48:44 AM
488,10.077,Valid,99,Valid,8/27/2020 5:48:50 AM
478,10.465,Valid,101,Valid,8/27/2020 5:48:56 AM
