Machine Name,Unidad_1
Point Name,39VS-11 (T2X)
Comp,
Probe Angle,45° Right
X-Axis Unit,rpm
Y-Axis Unit,µm pp
Variable,1X
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Timestamp
768,6.25,Valid,51,Valid,9/4/2020 5:48:56 PM
777,7.751,Valid,52,Valid,9/4/2020 5:48:57 PM
788,9.932,Valid,53,Valid,9/4/2020 5:48:59 PM
797,11.918,Valid,54,Valid,9/4/2020 5:49:00 PM
808,15.309,Valid,57,Valid,9/4/2020 5:49:01 PM
817,18.749,Valid,61,Valid,9/4/2020 5:49:03 PM
828,24.466,Valid,68,Valid,9/4/2020 5:49:04 PM
837,29.407,Valid,76,Valid,9/4/2020 5:49:05 PM
847,37.982,Valid,90,Valid,9/4/2020 5:49:07 PM
858,43.893,Valid,105,Valid,9/4/2020 5:49:08 PM
867,46.509,Valid,123,Valid,9/4/2020 5:49:10 PM
878,45.976,Valid,138,Valid,9/4/2020 5:49:11 PM
888,42.003,Valid,149,Valid,9/4/2020 5:49:12 PM
898,38.37,Valid,156,Valid,9/4/2020 5:49:14 PM
908,36.287,Valid,160,Valid,9/4/2020 5:49:15 PM
917,34.591,Valid,163,Valid,9/4/2020 5:49:16 PM
928,33.186,Valid,166,Valid,9/4/2020 5:49:18 PM
938,32.847,Valid,168,Valid,9/4/2020 5:49:19 PM
948,33.041,Valid,170,Valid,9/4/2020 5:49:21 PM
957,34.058,Valid,172,Valid,9/4/2020 5:49:22 PM
967,35.172,Valid,176,Valid,9/4/2020 5:49:23 PM
977,37.207,Valid,180,Valid,9/4/2020 5:49:25 PM
987,39.775,Valid,186,Valid,9/4/2020 5:49:26 PM
997,42.875,Valid,195,Valid,9/4/2020 5:49:28 PM
1008,42.536,Valid,207,Valid,9/4/2020 5:49:29 PM
1018,39.436,Valid,218,Valid,9/4/2020 5:49:31 PM
1027,35.027,Valid,227,Valid,9/4/2020 5:49:33 PM
1038,30.57,Valid,233,Valid,9/4/2020 5:49:34 PM
1048,27.033,Valid,237,Valid,9/4/2020 5:49:36 PM
1057,23.69,Valid,240,Valid,9/4/2020 5:49:37 PM
1077,16.714,Valid,241,Valid,9/4/2020 5:49:41 PM
1087,13.468,Valid,233,Valid,9/4/2020 5:49:42 PM
1098,13.565,Valid,219,Valid,9/4/2020 5:49:44 PM
1107,15.987,Valid,212,Valid,9/4/2020 5:49:46 PM
1117,17.538,Valid,216,Valid,9/4/2020 5:49:48 PM
1127,17.344,Valid,219,Valid,9/4/2020 5:49:50 PM
1137,17.005,Valid,221,Valid,9/4/2020 5:49:51 PM
1147,16.569,Valid,223,Valid,9/4/2020 5:49:53 PM
1157,15.842,Valid,222,Valid,9/4/2020 5:49:55 PM
1167,15.551,Valid,220,Valid,9/4/2020 5:49:57 PM
1177,15.358,Valid,217,Valid,9/4/2020 5:49:59 PM
1187,15.842,Valid,215,Valid,9/4/2020 5:50:01 PM
1197,17.053,Valid,216,Valid,9/4/2020 5:50:03 PM
1207,18.313,Valid,219,Valid,9/4/2020 5:50:05 PM
1218,17.925,Valid,224,Valid,9/4/2020 5:50:08 PM
1228,17.828,Valid,227,Valid,9/4/2020 5:50:10 PM
1238,17.489,Valid,229,Valid,9/4/2020 5:50:12 PM
1248,17.199,Valid,231,Valid,9/4/2020 5:50:14 PM
1258,17.247,Valid,232,Valid,9/4/2020 5:50:17 PM
1268,17.005,Valid,234,Valid,9/4/2020 5:50:19 PM
1278,16.569,Valid,236,Valid,9/4/2020 5:50:22 PM
1287,15.987,Valid,235,Valid,9/4/2020 5:50:24 PM
1298,15.455,Valid,236,Valid,9/4/2020 5:50:27 PM
1307,15.503,Valid,236,Valid,9/4/2020 5:50:29 PM
1318,15.261,Valid,236,Valid,9/4/2020 5:50:32 PM
1327,15.261,Valid,237,Valid,9/4/2020 5:50:35 PM
1337,15.115,Valid,238,Valid,9/4/2020 5:50:38 PM
1348,15.455,Valid,238,Valid,9/4/2020 5:50:41 PM
1358,15.212,Valid,238,Valid,9/4/2020 5:50:44 PM
1368,15.6,Valid,239,Valid,9/4/2020 5:50:47 PM
1378,15.939,Valid,241,Valid,9/4/2020 5:50:50 PM
1387,15.939,Valid,241,Valid,9/4/2020 5:50:53 PM
1397,15.406,Valid,242,Valid,9/4/2020 5:50:57 PM
1408,15.939,Valid,244,Valid,9/4/2020 5:51:00 PM
1418,15.842,Valid,243,Valid,9/4/2020 5:51:04 PM
1428,16.133,Valid,244,Valid,9/4/2020 5:51:08 PM
1437,16.23,Valid,245,Valid,9/4/2020 5:51:11 PM
1448,16.666,Valid,244,Valid,9/4/2020 5:51:15 PM
1457,17.005,Valid,245,Valid,9/4/2020 5:51:18 PM
1467,16.666,Valid,246,Valid,9/4/2020 5:51:22 PM
1477,17.053,Valid,246,Valid,9/4/2020 5:51:25 PM
1488,17.441,Valid,246,Valid,9/4/2020 5:51:29 PM
1497,17.925,Valid,246,Valid,9/4/2020 5:51:32 PM
1508,18.022,Valid,246,Valid,9/4/2020 5:51:36 PM
1518,18.894,Valid,249,Valid,9/4/2020 5:51:39 PM
1527,19.573,Valid,249,Valid,9/4/2020 5:51:42 PM
1538,19.136,Valid,251,Valid,9/4/2020 5:51:46 PM
1548,20.105,Valid,251,Valid,9/4/2020 5:51:49 PM
1558,20.687,Valid,252,Valid,9/4/2020 5:51:53 PM
1568,18.313,Valid,239,Valid,9/4/2020 5:51:56 PM
1577,18.846,Valid,242,Valid,9/4/2020 5:51:59 PM
1588,19.427,Valid,244,Valid,9/4/2020 5:52:03 PM
1598,19.766,Valid,246,Valid,9/4/2020 5:52:06 PM
1607,19.233,Valid,247,Valid,9/4/2020 5:52:09 PM
1618,18.555,Valid,254,Valid,9/4/2020 5:52:13 PM
1628,18.264,Valid,255,Valid,9/4/2020 5:52:16 PM
1638,17.586,Valid,257,Valid,9/4/2020 5:52:19 PM
1647,17.392,Valid,256,Valid,9/4/2020 5:52:22 PM
1658,17.15,Valid,257,Valid,9/4/2020 5:52:26 PM
1668,17.296,Valid,257,Valid,9/4/2020 5:52:29 PM
1677,16.811,Valid,256,Valid,9/4/2020 5:52:32 PM
1688,16.859,Valid,258,Valid,9/4/2020 5:52:35 PM
1698,16.859,Valid,259,Valid,9/4/2020 5:52:38 PM
1707,16.956,Valid,259,Valid,9/4/2020 5:52:41 PM
1717,17.344,Valid,260,Valid,9/4/2020 5:52:45 PM
1728,17.005,Valid,261,Valid,9/4/2020 5:52:48 PM
1738,17.102,Valid,261,Valid,9/4/2020 5:52:51 PM
1748,17.199,Valid,261,Valid,9/4/2020 5:52:54 PM
1758,17.102,Valid,263,Valid,9/4/2020 5:52:57 PM
1768,17.005,Valid,264,Valid,9/4/2020 5:53:00 PM
1778,17.199,Valid,264,Valid,9/4/2020 5:53:03 PM
1787,16.956,Valid,263,Valid,9/4/2020 5:53:07 PM
1797,17.15,Valid,265,Valid,9/4/2020 5:53:10 PM
1808,17.15,Valid,266,Valid,9/4/2020 5:53:13 PM
1818,16.763,Valid,267,Valid,9/4/2020 5:53:16 PM
1827,17.005,Valid,267,Valid,9/4/2020 5:53:19 PM
1838,17.199,Valid,267,Valid,9/4/2020 5:53:22 PM
1847,17.296,Valid,269,Valid,9/4/2020 5:53:25 PM
1857,16.714,Valid,270,Valid,9/4/2020 5:53:27 PM
1868,16.714,Valid,270,Valid,9/4/2020 5:53:30 PM
1878,16.714,Valid,271,Valid,9/4/2020 5:53:33 PM
1887,16.423,Valid,273,Valid,9/4/2020 5:53:36 PM
1897,16.375,Valid,274,Valid,9/4/2020 5:53:38 PM
1908,16.666,Valid,274,Valid,9/4/2020 5:53:41 PM
1918,16.569,Valid,274,Valid,9/4/2020 5:53:44 PM
1928,16.472,Valid,275,Valid,9/4/2020 5:53:46 PM
1938,16.375,Valid,273,Valid,9/4/2020 5:53:49 PM
1947,15.358,Valid,275,Valid,9/4/2020 5:53:51 PM
1958,15.455,Valid,273,Valid,9/4/2020 5:53:54 PM
1967,14.922,Valid,273,Valid,9/4/2020 5:53:56 PM
1977,14.873,Valid,274,Valid,9/4/2020 5:53:58 PM
1988,14.776,Valid,275,Valid,9/4/2020 5:54:01 PM
1998,14.873,Valid,277,Valid,9/4/2020 5:54:03 PM
2007,14.582,Valid,277,Valid,9/4/2020 5:54:05 PM
2017,14.098,Valid,278,Valid,9/4/2020 5:54:08 PM
2028,14.582,Valid,274,Valid,9/4/2020 5:54:10 PM
2038,14.146,Valid,272,Valid,9/4/2020 5:54:12 PM
2048,14.534,Valid,267,Valid,9/4/2020 5:54:14 PM
2058,14.922,Valid,268,Valid,9/4/2020 5:54:17 PM
2068,15.212,Valid,268,Valid,9/4/2020 5:54:19 PM
2078,16.472,Valid,266,Valid,9/4/2020 5:54:21 PM
2087,16.181,Valid,266,Valid,9/4/2020 5:54:23 PM
2097,16.714,Valid,263,Valid,9/4/2020 5:54:25 PM
2108,17.732,Valid,266,Valid,9/4/2020 5:54:27 PM
2118,17.974,Valid,264,Valid,9/4/2020 5:54:29 PM
2127,18.071,Valid,265,Valid,9/4/2020 5:54:31 PM
2137,18.991,Valid,265,Valid,9/4/2020 5:54:33 PM
2147,18.943,Valid,268,Valid,9/4/2020 5:54:35 PM
2158,19.379,Valid,267,Valid,9/4/2020 5:54:37 PM
2168,19.427,Valid,269,Valid,9/4/2020 5:54:39 PM
2178,20.105,Valid,271,Valid,9/4/2020 5:54:40 PM
2187,20.105,Valid,270,Valid,9/4/2020 5:54:42 PM
2198,20.687,Valid,270,Valid,9/4/2020 5:54:44 PM
2208,20.687,Valid,273,Valid,9/4/2020 5:54:46 PM
2218,21.123,Valid,273,Valid,9/4/2020 5:54:48 PM
2228,21.898,Valid,274,Valid,9/4/2020 5:54:49 PM
2237,21.753,Valid,275,Valid,9/4/2020 5:54:51 PM
2247,22.189,Valid,276,Valid,9/4/2020 5:54:53 PM
2258,21.656,Valid,277,Valid,9/4/2020 5:54:54 PM
2268,21.51,Valid,278,Valid,9/4/2020 5:54:56 PM
2277,21.413,Valid,280,Valid,9/4/2020 5:54:58 PM
2287,21.559,Valid,277,Valid,9/4/2020 5:54:59 PM
2298,21.656,Valid,278,Valid,9/4/2020 5:55:01 PM
2308,22.14,Valid,281,Valid,9/4/2020 5:55:03 PM
2318,21.656,Valid,282,Valid,9/4/2020 5:55:04 PM
2328,22.334,Valid,284,Valid,9/4/2020 5:55:06 PM
2338,21.898,Valid,284,Valid,9/4/2020 5:55:08 PM
2347,21.995,Valid,283,Valid,9/4/2020 5:55:09 PM
2358,23.012,Valid,285,Valid,9/4/2020 5:55:11 PM
2367,21.85,Valid,285,Valid,9/4/2020 5:55:12 PM
2378,22.286,Valid,283,Valid,9/4/2020 5:55:14 PM
2388,22.528,Valid,285,Valid,9/4/2020 5:55:15 PM
2397,22.722,Valid,285,Valid,9/4/2020 5:55:17 PM
2407,22.479,Valid,286,Valid,9/4/2020 5:55:19 PM
2418,22.915,Valid,287,Valid,9/4/2020 5:55:20 PM
2428,23.158,Valid,287,Valid,9/4/2020 5:55:22 PM
2437,23.448,Valid,287,Valid,9/4/2020 5:55:24 PM
2447,23.69,Valid,291,Valid,9/4/2020 5:55:25 PM
2458,23.497,Valid,290,Valid,9/4/2020 5:55:27 PM
2467,23.642,Valid,292,Valid,9/4/2020 5:55:29 PM
2478,23.933,Valid,292,Valid,9/4/2020 5:55:31 PM
2487,23.69,Valid,292,Valid,9/4/2020 5:55:33 PM
2497,24.369,Valid,293,Valid,9/4/2020 5:55:34 PM
2507,23.739,Valid,293,Valid,9/4/2020 5:55:36 PM
2517,24.369,Valid,295,Valid,9/4/2020 5:55:38 PM
2527,24.708,Valid,295,Valid,9/4/2020 5:55:40 PM
2537,24.756,Valid,297,Valid,9/4/2020 5:55:41 PM
2547,24.32,Valid,298,Valid,9/4/2020 5:55:43 PM
