Machine Name,Unidad_1
Point Name,39VS-22 (T1Y)
Comp,
Probe Angle,45° Left
X-Axis Unit,rpm
Y-Axis Unit,µm pp
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Timestamp
104,18.604,Valid,,,8/27/2020 5:33:51 AM
114,18.7,Valid,,,8/27/2020 5:33:52 AM
114,18.7,Valid,,,8/27/2020 5:33:52 AM
123,18.797,Valid,,,8/27/2020 5:33:53 AM
144,19.185,Valid,,,8/27/2020 5:33:55 AM
144,19.233,Valid,,,8/27/2020 5:33:55 AM
155,19.476,Valid,,,8/27/2020 5:33:57 AM
166,19.718,Valid,,,8/27/2020 5:33:58 AM
175,19.863,Valid,,,8/27/2020 5:33:59 AM
188,19.912,Valid,,,8/27/2020 5:34:00 AM
196,20.057,Valid,,,8/27/2020 5:34:01 AM
207,20.154,Valid,,,8/27/2020 5:34:02 AM
217,20.251,Valid,,,8/27/2020 5:34:03 AM
227,20.202,Valid,,,8/27/2020 5:34:04 AM
236,20.251,Valid,,,8/27/2020 5:34:05 AM
247,20.396,Valid,,,8/27/2020 5:34:06 AM
256,20.445,Valid,,,8/27/2020 5:34:07 AM
266,20.687,Valid,,,8/27/2020 5:34:09 AM
276,20.977,Valid,,,8/27/2020 5:34:10 AM
287,21.268,Valid,,,8/27/2020 5:34:11 AM
296,21.365,Valid,,,8/27/2020 5:34:12 AM
307,21.026,Valid,,,8/27/2020 5:34:13 AM
317,20.784,Valid,,,8/27/2020 5:34:14 AM
326,20.735,Valid,,,8/27/2020 5:34:15 AM
337,20.784,Valid,,,8/27/2020 5:34:17 AM
346,20.832,Valid,,,8/27/2020 5:34:18 AM
357,20.735,Valid,,,8/27/2020 5:34:19 AM
366,20.832,Valid,,,8/27/2020 5:34:20 AM
377,20.832,Valid,,,8/27/2020 5:34:21 AM
387,20.784,Valid,,,8/27/2020 5:34:22 AM
397,20.832,Valid,,,8/27/2020 5:34:24 AM
407,20.687,Valid,,,8/27/2020 5:34:25 AM
417,20.687,Valid,,,8/27/2020 5:34:26 AM
427,20.541,Valid,,,8/27/2020 5:34:27 AM
437,20.348,Valid,,,8/27/2020 5:34:28 AM
447,20.057,Valid,,,8/27/2020 5:34:30 AM
457,19.863,Valid,,,8/27/2020 5:34:31 AM
467,19.524,Valid,,,8/27/2020 5:34:32 AM
477,19.524,Valid,,,8/27/2020 5:34:33 AM
487,19.427,Valid,,,8/27/2020 5:34:35 AM
497,19.088,Valid,,,8/27/2020 5:34:36 AM
