Machine Name,Unidad_1
Point Name,39VS-11 (T2X)
Comp,
Probe Angle,45° Right
X-Axis Unit,rpm
Y-Axis Unit,µm pp
Variable,Direct
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Timestamp
104,8.236,Valid,,,8/27/2020 5:33:51 AM
114,8.188,Valid,,,8/27/2020 5:33:52 AM
123,8.284,Valid,,,8/27/2020 5:33:53 AM
144,8.575,Valid,,,8/27/2020 5:33:55 AM
144,8.575,Valid,,,8/27/2020 5:33:55 AM
155,8.575,Valid,,,8/27/2020 5:33:57 AM
166,8.72,Valid,,,8/27/2020 5:33:58 AM
175,8.624,Valid,,,8/27/2020 5:33:59 AM
188,8.769,Valid,,,8/27/2020 5:34:00 AM
196,8.624,Valid,,,8/27/2020 5:34:01 AM
207,9.011,Valid,,,8/27/2020 5:34:02 AM
217,9.205,Valid,,,8/27/2020 5:34:03 AM
227,9.06,Valid,,,8/27/2020 5:34:04 AM
236,8.963,Valid,,,8/27/2020 5:34:05 AM
247,8.672,Valid,,,8/27/2020 5:34:06 AM
256,8.672,Valid,,,8/27/2020 5:34:07 AM
266,8.43,Valid,,,8/27/2020 5:34:09 AM
276,8.139,Valid,,,8/27/2020 5:34:10 AM
287,7.897,Valid,,,8/27/2020 5:34:11 AM
296,7.994,Valid,,,8/27/2020 5:34:12 AM
307,8.284,Valid,,,8/27/2020 5:34:13 AM
317,8.381,Valid,,,8/27/2020 5:34:14 AM
326,8.43,Valid,,,8/27/2020 5:34:15 AM
346,8.284,Valid,,,8/27/2020 5:34:18 AM
357,8.139,Valid,,,8/27/2020 5:34:19 AM
366,8.284,Valid,,,8/27/2020 5:34:20 AM
377,8.042,Valid,,,8/27/2020 5:34:21 AM
387,8.042,Valid,,,8/27/2020 5:34:22 AM
397,8.042,Valid,,,8/27/2020 5:34:24 AM
407,7.945,Valid,,,8/27/2020 5:34:25 AM
417,8.042,Valid,,,8/27/2020 5:34:26 AM
427,7.655,Valid,,,8/27/2020 5:34:27 AM
437,7.509,Valid,,,8/27/2020 5:34:28 AM
447,7.267,Valid,,,8/27/2020 5:34:30 AM
457,7.219,Valid,,,8/27/2020 5:34:31 AM
467,7.364,Valid,,,8/27/2020 5:34:32 AM
477,7.461,Valid,,,8/27/2020 5:34:33 AM
487,7.848,Valid,,,8/27/2020 5:34:35 AM
497,8.188,Valid,,,8/27/2020 5:34:36 AM
507,8.72,Valid,,,8/27/2020 5:34:37 AM
517,9.883,Valid,,,8/27/2020 5:34:38 AM
527,10.61,Valid,,,8/27/2020 5:34:40 AM
537,11.191,Valid,,,8/27/2020 5:34:41 AM
537,11.579,Valid,,,8/27/2020 5:34:41 AM
547,12.112,Valid,,,8/27/2020 5:34:42 AM
557,11.433,Valid,,,8/27/2020 5:34:44 AM
567,9.302,Valid,,,8/27/2020 5:34:45 AM
578,7.848,Valid,,,8/27/2020 5:34:46 AM
587,6.879,Valid,,,8/27/2020 5:34:48 AM
597,6.347,Valid,,,8/27/2020 5:34:49 AM
607,5.862,Valid,,,8/27/2020 5:34:50 AM
618,5.523,Valid,,,8/27/2020 5:34:52 AM
628,5.62,Valid,,,8/27/2020 5:34:53 AM
637,5.523,Valid,,,8/27/2020 5:34:55 AM
648,5.814,Valid,,,8/27/2020 5:34:57 AM
658,6.007,Valid,,,8/27/2020 5:34:59 AM
667,6.056,Valid,,,8/27/2020 5:35:02 AM
678,5.668,Valid,,,8/27/2020 5:35:05 AM
687,5.862,Valid,,,8/27/2020 5:35:10 AM
698,6.54,Valid,,,8/27/2020 5:35:20 AM
688,6.153,Valid,,,8/27/2020 5:47:17 AM
678,6.201,Valid,,,8/27/2020 5:47:21 AM
668,6.007,Valid,,,8/27/2020 5:47:24 AM
658,5.959,Valid,,,8/27/2020 5:47:28 AM
648,5.668,Valid,,,8/27/2020 5:47:31 AM
638,5.378,Valid,,,8/27/2020 5:47:35 AM
638,5.329,Valid,,,8/27/2020 5:47:35 AM
628,5.329,Valid,,,8/27/2020 5:47:39 AM
618,5.329,Valid,,,8/27/2020 5:47:43 AM
608,5.765,Valid,,,8/27/2020 5:47:48 AM
598,6.153,Valid,,,8/27/2020 5:47:52 AM
588,6.879,Valid,,,8/27/2020 5:47:56 AM
578,7.606,Valid,,,8/27/2020 5:48:01 AM
568,8.72,Valid,,,8/27/2020 5:48:06 AM
558,10.658,Valid,,,8/27/2020 5:48:11 AM
548,13.662,Valid,,,8/27/2020 5:48:16 AM
538,13.032,Valid,,,8/27/2020 5:48:21 AM
528,12.16,Valid,,,8/27/2020 5:48:26 AM
518,10.949,Valid,,,8/27/2020 5:48:32 AM
508,9.835,Valid,,,8/27/2020 5:48:38 AM
498,8.478,Valid,,,8/27/2020 5:48:44 AM
488,8.042,Valid,,,8/27/2020 5:48:50 AM
478,7.655,Valid,,,8/27/2020 5:48:56 AM
468,7.606,Valid,,,8/27/2020 5:49:03 AM
458,7.461,Valid,,,8/27/2020 5:49:10 AM
448,7.219,Valid,,,8/27/2020 5:49:17 AM
438,7.364,Valid,,,8/27/2020 5:49:24 AM
428,7.509,Valid,,,8/27/2020 5:49:32 AM
418,7.848,Valid,,,8/27/2020 5:49:40 AM
408,7.945,Valid,,,8/27/2020 5:49:48 AM
417,7.945,Valid,,,8/27/2020 5:50:05 AM
427,7.461,Valid,,,8/27/2020 5:50:11 AM
437,7.897,Valid,,,8/27/2020 5:50:43 AM
448,7.703,Valid,,,8/27/2020 5:50:45 AM
457,7.509,Valid,,,8/27/2020 5:50:46 AM
467,7.558,Valid,,,8/27/2020 5:50:47 AM
477,7.703,Valid,,,8/27/2020 5:50:48 AM
487,7.897,Valid,,,8/27/2020 5:50:49 AM
497,8.188,Valid,,,8/27/2020 5:50:51 AM
506,8.72,Valid,,,8/27/2020 5:50:52 AM
517,9.932,Valid,,,8/27/2020 5:50:53 AM
527,11.046,Valid,,,8/27/2020 5:50:54 AM
537,11.773,Valid,,,8/27/2020 5:50:55 AM
548,12.984,Valid,,,8/27/2020 5:50:57 AM
557,12.305,Valid,,,8/27/2020 5:50:58 AM
567,9.738,Valid,,,8/27/2020 5:50:59 AM
577,7.945,Valid,,,8/27/2020 5:51:00 AM
587,7.122,Valid,,,8/27/2020 5:51:02 AM
597,6.443,Valid,,,8/27/2020 5:51:03 AM
608,5.911,Valid,,,8/27/2020 5:51:04 AM
617,5.523,Valid,,,8/27/2020 5:51:05 AM
617,5.426,Valid,,,8/27/2020 5:51:05 AM
627,5.232,Valid,,,8/27/2020 5:51:07 AM
638,5.474,Valid,,,8/27/2020 5:51:08 AM
648,5.62,Valid,,,8/27/2020 5:51:09 AM
658,5.911,Valid,,,8/27/2020 5:51:11 AM
667,6.104,Valid,,,8/27/2020 5:51:12 AM
677,6.153,Valid,,,8/27/2020 5:51:13 AM
687,6.007,Valid,,,8/27/2020 5:51:14 AM
698,6.104,Valid,,,8/27/2020 5:51:16 AM
708,6.492,Valid,,,8/27/2020 5:51:17 AM
718,7.073,Valid,,,8/27/2020 5:51:19 AM
728,7.945,Valid,,,8/27/2020 5:51:20 AM
738,8.963,Valid,,,8/27/2020 5:51:21 AM
748,10.077,Valid,,,8/27/2020 5:51:23 AM
757,11.24,Valid,,,8/27/2020 5:51:24 AM
767,13.226,Valid,,,8/27/2020 5:51:25 AM
778,15.697,Valid,,,8/27/2020 5:51:27 AM
787,17.828,Valid,,,8/27/2020 5:51:28 AM
798,21.074,Valid,,,8/27/2020 5:51:30 AM
808,25.822,Valid,,,8/27/2020 5:51:31 AM
817,32.944,Valid,,,8/27/2020 5:51:32 AM
828,42.149,Valid,,,8/27/2020 5:51:34 AM
838,50.046,Valid,,,8/27/2020 5:51:35 AM
847,55.714,Valid,,,8/27/2020 5:51:36 AM
858,57.797,Valid,,,8/27/2020 5:51:37 AM
858,57.7,Valid,,,8/27/2020 5:51:38 AM
868,54.26,Valid,,,8/27/2020 5:51:39 AM
878,49.658,Valid,,,8/27/2020 5:51:41 AM
888,44.862,Valid,,,8/27/2020 5:51:42 AM
898,41.858,Valid,,,8/27/2020 5:51:43 AM
907,40.356,Valid,,,8/27/2020 5:51:45 AM
918,39.484,Valid,,,8/27/2020 5:51:46 AM
928,39.193,Valid,,,8/27/2020 5:51:47 AM
937,39,Valid,,,8/27/2020 5:51:49 AM
947,40.55,Valid,,,8/27/2020 5:51:50 AM
956,41.519,Valid,,,8/27/2020 5:51:51 AM
968,43.457,Valid,,,8/27/2020 5:51:53 AM
978,46.945,Valid,,,8/27/2020 5:51:54 AM
987,49.416,Valid,,,8/27/2020 5:51:56 AM
997,50.918,Valid,,,8/27/2020 5:51:57 AM
1008,48.786,Valid,,,8/27/2020 5:51:59 AM
1018,44.91,Valid,,,8/27/2020 5:52:00 AM
1028,39.533,Valid,,,8/27/2020 5:52:02 AM
1037,35.124,Valid,,,8/27/2020 5:52:04 AM
1047,31.345,Valid,,,8/27/2020 5:52:05 AM
1057,26.936,Valid,,,8/27/2020 5:52:07 AM
1068,23.69,Valid,,,8/27/2020 5:52:08 AM
1078,21.22,Valid,,,8/27/2020 5:52:10 AM
1087,19.185,Valid,,,8/27/2020 5:52:12 AM
1097,18.991,Valid,,,8/27/2020 5:52:13 AM
1107,20.541,Valid,,,8/27/2020 5:52:15 AM
1118,21.413,Valid,,,8/27/2020 5:52:17 AM
1127,21.462,Valid,,,8/27/2020 5:52:19 AM
1137,21.026,Valid,,,8/27/2020 5:52:21 AM
1148,20.541,Valid,,,8/27/2020 5:52:23 AM
1157,20.251,Valid,,,8/27/2020 5:52:24 AM
1168,20.251,Valid,,,8/27/2020 5:52:26 AM
1177,20.784,Valid,,,8/27/2020 5:52:28 AM
1188,22.382,Valid,,,8/27/2020 5:52:30 AM
1198,23.497,Valid,,,8/27/2020 5:52:32 AM
1207,24.32,Valid,,,8/27/2020 5:52:34 AM
1217,23.981,Valid,,,8/27/2020 5:52:37 AM
1227,23.545,Valid,,,8/27/2020 5:52:39 AM
1237,23.545,Valid,,,8/27/2020 5:52:41 AM
1248,23.351,Valid,,,8/27/2020 5:52:43 AM
1257,22.964,Valid,,,8/27/2020 5:52:46 AM
1268,22.818,Valid,,,8/27/2020 5:52:48 AM
1278,22.479,Valid,,,8/27/2020 5:52:50 AM
1288,22.14,Valid,,,8/27/2020 5:52:53 AM
1298,21.995,Valid,,,8/27/2020 5:52:55 AM
1308,21.85,Valid,,,8/27/2020 5:52:58 AM
1318,21.51,Valid,,,8/27/2020 5:53:01 AM
1328,21.656,Valid,,,8/27/2020 5:53:03 AM
1338,21.413,Valid,,,8/27/2020 5:53:06 AM
1348,21.074,Valid,,,8/27/2020 5:53:09 AM
1357,21.268,Valid,,,8/27/2020 5:53:12 AM
1368,21.413,Valid,,,8/27/2020 5:53:15 AM
1378,21.51,Valid,,,8/27/2020 5:53:18 AM
1388,21.123,Valid,,,8/27/2020 5:53:21 AM
1398,21.268,Valid,,,8/27/2020 5:53:24 AM
1408,21.268,Valid,,,8/27/2020 5:53:28 AM
1418,21.559,Valid,,,8/27/2020 5:53:31 AM
1428,21.898,Valid,,,8/27/2020 5:53:35 AM
1438,22.237,Valid,,,8/27/2020 5:53:38 AM
1447,22.576,Valid,,,8/27/2020 5:53:42 AM
1457,22.189,Valid,,,8/27/2020 5:53:45 AM
1467,22.722,Valid,,,8/27/2020 5:53:49 AM
1478,23.254,Valid,,,8/27/2020 5:53:52 AM
1488,23.158,Valid,,,8/27/2020 5:53:56 AM
1498,23.061,Valid,,,8/27/2020 5:53:59 AM
1508,24.466,Valid,,,8/27/2020 5:54:03 AM
1518,24.223,Valid,,,8/27/2020 5:54:06 AM
1527,24.514,Valid,,,8/27/2020 5:54:09 AM
1538,24.611,Valid,,,8/27/2020 5:54:13 AM
