Machine Name,Unidad_1
Point Name,77RP-11
Comp,
Y-Axis Unit,rpm 
Speed Unit,rpm
Variable,Speed
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status
8/27/2020 5:33:51 AM,104.5,Valid,,,,
8/27/2020 5:33:52 AM,114.5,Valid,,,,
8/27/2020 5:33:52 AM,114.5,Valid,,,,
8/27/2020 5:33:53 AM,123.8,Valid,,,,
8/27/2020 5:33:54 AM,136.7,Valid,,,,
8/27/2020 5:33:55 AM,144.7,Valid,,,,
8/27/2020 5:33:56 AM,155.8,Valid,,,,
8/27/2020 5:33:57 AM,166.2,Valid,,,,
8/27/2020 5:33:58 AM,175.9,Valid,,,,
8/27/2020 5:34:00 AM,188,Valid,,,,
8/27/2020 5:34:01 AM,196.5,Valid,,,,
8/27/2020 5:34:02 AM,207.4,Valid,,,,
8/27/2020 5:34:03 AM,217.6,Valid,,,,
8/27/2020 5:34:04 AM,227.3,Valid,,,,
8/27/2020 5:34:05 AM,236.7,Valid,,,,
8/27/2020 5:34:06 AM,247.8,Valid,,,,
8/27/2020 5:34:07 AM,256.3,Valid,,,,
8/27/2020 5:34:08 AM,266.5,Valid,,,,
8/27/2020 5:34:09 AM,276.3,Valid,,,,
8/27/2020 5:34:11 AM,287.6,Valid,,,,
8/27/2020 5:34:12 AM,296.6,Valid,,,,
8/27/2020 5:34:13 AM,307.1,Valid,,,,
8/27/2020 5:34:14 AM,317.1,Valid,,,,
8/27/2020 5:34:15 AM,326.8,Valid,,,,
8/27/2020 5:34:16 AM,337.8,Valid,,,,
8/27/2020 5:34:17 AM,346.8,Valid,,,,
8/27/2020 5:34:19 AM,357.1,Valid,,,,
8/27/2020 5:34:20 AM,366.9,Valid,,,,
8/27/2020 5:34:21 AM,377.9,Valid,,,,
8/27/2020 5:34:22 AM,387.2,Valid,,,,
8/27/2020 5:34:23 AM,397.4,Valid,,,,
8/27/2020 5:34:25 AM,407.4,Valid,,,,
8/27/2020 5:34:26 AM,417.1,Valid,,,,
8/27/2020 5:34:27 AM,427.7,Valid,,,,
8/27/2020 5:34:28 AM,437.9,Valid,,,,
8/27/2020 5:34:30 AM,447.9,Valid,,,,
8/27/2020 5:34:31 AM,457.6,Valid,,,,
8/27/2020 5:34:32 AM,467.1,Valid,,,,
8/27/2020 5:34:33 AM,477.3,Valid,,,,
8/27/2020 5:34:34 AM,487.2,Valid,,,,
8/27/2020 5:34:36 AM,497.8,Valid,,,,
8/27/2020 5:34:37 AM,507.2,Valid,,,,
8/27/2020 5:34:38 AM,517.2,Valid,,,,
8/27/2020 5:34:40 AM,527.9,Valid,,,,
8/27/2020 5:34:41 AM,537.4,Valid,,,,
8/27/2020 5:34:42 AM,547.5,Valid,,,,
8/27/2020 5:34:43 AM,557.4,Valid,,,,
8/27/2020 5:34:45 AM,567.8,Valid,,,,
8/27/2020 5:34:46 AM,578,Valid,,,,
8/27/2020 5:34:48 AM,587.9,Valid,,,,
8/27/2020 5:34:49 AM,597.5,Valid,,,,
8/27/2020 5:34:50 AM,607.5,Valid,,,,
8/27/2020 5:34:52 AM,618.3,Valid,,,,
8/27/2020 5:34:53 AM,628.2,Valid,,,,
8/27/2020 5:34:55 AM,637.7,Valid,,,,
8/27/2020 5:34:55 AM,639.7,Valid,,,,
8/27/2020 5:34:57 AM,648,Valid,,,,
8/27/2020 5:34:59 AM,658,Valid,,,,
8/27/2020 5:35:02 AM,667.9,Valid,,,,
8/27/2020 5:35:05 AM,678.1,Valid,,,,
8/27/2020 5:35:05 AM,678.3,Valid,,,,
8/27/2020 5:35:10 AM,687.9,Valid,,,,
8/27/2020 5:35:20 AM,698.1,Valid,,,,
8/27/2020 5:35:48 AM,704.5,Valid,,,,
8/27/2020 5:47:15 AM,693.1,Valid,,,,
8/27/2020 5:47:17 AM,688.2,Valid,,,,
8/27/2020 5:47:21 AM,678,Valid,,,,
8/27/2020 5:47:24 AM,668,Valid,,,,
8/27/2020 5:47:28 AM,658.1,Valid,,,,
8/27/2020 5:47:31 AM,648.4,Valid,,,,
8/27/2020 5:47:35 AM,638.2,Valid,,,,
8/27/2020 5:47:39 AM,628.2,Valid,,,,
8/27/2020 5:47:43 AM,618.3,Valid,,,,
8/27/2020 5:47:48 AM,608.1,Valid,,,,
8/27/2020 5:47:52 AM,598.2,Valid,,,,
8/27/2020 5:47:56 AM,588.2,Valid,,,,
8/27/2020 5:48:01 AM,578.2,Valid,,,,
8/27/2020 5:48:06 AM,568.2,Valid,,,,
8/27/2020 5:48:11 AM,558.2,Valid,,,,
8/27/2020 5:48:16 AM,548.3,Valid,,,,
8/27/2020 5:48:21 AM,538.3,Valid,,,,
8/27/2020 5:48:26 AM,528.3,Valid,,,,
8/27/2020 5:48:32 AM,518.2,Valid,,,,
8/27/2020 5:48:38 AM,508.2,Valid,,,,
8/27/2020 5:48:44 AM,498.2,Valid,,,,
8/27/2020 5:48:50 AM,488.4,Valid,,,,
8/27/2020 5:48:56 AM,478.2,Valid,,,,
8/27/2020 5:49:03 AM,468.3,Valid,,,,
8/27/2020 5:49:10 AM,458.3,Valid,,,,
8/27/2020 5:49:17 AM,448.3,Valid,,,,
8/27/2020 5:49:24 AM,438.2,Valid,,,,
8/27/2020 5:49:32 AM,428.3,Valid,,,,
8/27/2020 5:49:40 AM,418.2,Valid,,,,
8/27/2020 5:49:48 AM,408.3,Valid,,,,
8/27/2020 5:49:56 AM,398.8,Valid,,,,
8/27/2020 5:50:04 AM,416.8,Valid,,,,
8/27/2020 5:50:05 AM,417.8,Valid,,,,
8/27/2020 5:50:11 AM,427.9,Valid,,,,
8/27/2020 5:50:43 AM,437.8,Valid,,,,
8/27/2020 5:50:45 AM,448,Valid,,,,
8/27/2020 5:50:46 AM,457,Valid,,,,
8/27/2020 5:50:47 AM,467,Valid,,,,
8/27/2020 5:50:48 AM,477.8,Valid,,,,
8/27/2020 5:50:49 AM,487.2,Valid,,,,
8/27/2020 5:50:51 AM,497.5,Valid,,,,
8/27/2020 5:50:52 AM,506.5,Valid,,,,
8/27/2020 5:50:53 AM,517.3,Valid,,,,
8/27/2020 5:50:54 AM,527.8,Valid,,,,
8/27/2020 5:50:55 AM,537.1,Valid,,,,
8/27/2020 5:50:57 AM,548,Valid,,,,
8/27/2020 5:50:58 AM,557.8,Valid,,,,
8/27/2020 5:50:59 AM,567.3,Valid,,,,
8/27/2020 5:51:00 AM,577.5,Valid,,,,
8/27/2020 5:51:02 AM,587.4,Valid,,,,
8/27/2020 5:51:03 AM,597.9,Valid,,,,
8/27/2020 5:51:04 AM,608.1,Valid,,,,
8/27/2020 5:51:05 AM,617.4,Valid,,,,
8/27/2020 5:51:07 AM,627.9,Valid,,,,
8/27/2020 5:51:08 AM,638.2,Valid,,,,
8/27/2020 5:51:09 AM,648.3,Valid,,,,
