Machine Name,Unidad_1
Point Name,96VC-12 (Thrust B)
Comp,
Probe Angle,90° Left
X-Axis Unit,rpm
Y-Axis Unit,mm 
Variable,Direct (Thrust)
X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Timestamp
104,0.036,Valid,,,8/27/2020 5:33:51 AM
114,0.031,Valid,,,8/27/2020 5:33:52 AM
123,0.027,Valid,,,8/27/2020 5:33:53 AM
144,0.022,Valid,,,8/27/2020 5:33:55 AM
144,0.019,Valid,,,8/27/2020 5:33:55 AM
155,0.014,Valid,,,8/27/2020 5:33:57 AM
166,0.012,Valid,,,8/27/2020 5:33:58 AM
175,0.008,Valid,,,8/27/2020 5:33:59 AM
188,0.003,Valid,,,8/27/2020 5:34:00 AM
196,0.001,Valid,,,8/27/2020 5:34:01 AM
207,-0.002,Valid,,,8/27/2020 5:34:02 AM
217,-0.006,Valid,,,8/27/2020 5:34:03 AM
227,-0.007,Valid,,,8/27/2020 5:34:04 AM
236,-0.009,Valid,,,8/27/2020 5:34:05 AM
247,-0.012,Valid,,,8/27/2020 5:34:06 AM
256,-0.014,Valid,,,8/27/2020 5:34:07 AM
266,-0.016,Valid,,,8/27/2020 5:34:09 AM
276,-0.017,Valid,,,8/27/2020 5:34:10 AM
287,-0.019,Valid,,,8/27/2020 5:34:11 AM
296,-0.021,Valid,,,8/27/2020 5:34:12 AM
307,-0.022,Valid,,,8/27/2020 5:34:13 AM
317,-0.024,Valid,,,8/27/2020 5:34:14 AM
326,-0.025,Valid,,,8/27/2020 5:34:15 AM
337,-0.026,Valid,,,8/27/2020 5:34:17 AM
346,-0.028,Valid,,,8/27/2020 5:34:18 AM
357,-0.028,Valid,,,8/27/2020 5:34:19 AM
366,-0.029,Valid,,,8/27/2020 5:34:20 AM
377,-0.031,Valid,,,8/27/2020 5:34:21 AM
387,-0.031,Valid,,,8/27/2020 5:34:22 AM
397,-0.032,Valid,,,8/27/2020 5:34:24 AM
407,-0.034,Valid,,,8/27/2020 5:34:25 AM
417,-0.034,Valid,,,8/27/2020 5:34:26 AM
427,-0.035,Valid,,,8/27/2020 5:34:27 AM
437,-0.036,Valid,,,8/27/2020 5:34:28 AM
447,-0.037,Valid,,,8/27/2020 5:34:30 AM
457,-0.038,Valid,,,8/27/2020 5:34:31 AM
467,-0.039,Valid,,,8/27/2020 5:34:32 AM
477,-0.039,Valid,,,8/27/2020 5:34:33 AM
487,-0.039,Valid,,,8/27/2020 5:34:35 AM
497,-0.04,Valid,,,8/27/2020 5:34:36 AM
507,-0.041,Valid,,,8/27/2020 5:34:37 AM
517,-0.041,Valid,,,8/27/2020 5:34:38 AM
527,-0.042,Valid,,,8/27/2020 5:34:40 AM
537,-0.042,Valid,,,8/27/2020 5:34:41 AM
547,-0.043,Valid,,,8/27/2020 5:34:42 AM
557,-0.043,Valid,,,8/27/2020 5:34:44 AM
567,-0.044,Valid,,,8/27/2020 5:34:45 AM
578,-0.044,Valid,,,8/27/2020 5:34:46 AM
587,-0.045,Valid,,,8/27/2020 5:34:48 AM
597,-0.046,Valid,,,8/27/2020 5:34:49 AM
607,-0.046,Valid,,,8/27/2020 5:34:50 AM
618,-0.047,Valid,,,8/27/2020 5:34:52 AM
628,-0.047,Valid,,,8/27/2020 5:34:53 AM
637,-0.048,Valid,,,8/27/2020 5:34:55 AM
648,-0.048,Valid,,,8/27/2020 5:34:57 AM
658,-0.049,Valid,,,8/27/2020 5:34:59 AM
667,-0.05,Valid,,,8/27/2020 5:35:02 AM
678,-0.051,Valid,,,8/27/2020 5:35:05 AM
687,-0.051,Valid,,,8/27/2020 5:35:10 AM
698,-0.052,Valid,,,8/27/2020 5:35:20 AM
688,-0.059,Valid,,,8/27/2020 5:47:17 AM
678,-0.058,Valid,,,8/27/2020 5:47:21 AM
668,-0.058,Valid,,,8/27/2020 5:47:24 AM
658,-0.057,Valid,,,8/27/2020 5:47:28 AM
648,-0.057,Valid,,,8/27/2020 5:47:31 AM
638,-0.057,Valid,,,8/27/2020 5:47:35 AM
628,-0.056,Valid,,,8/27/2020 5:47:39 AM
618,-0.055,Valid,,,8/27/2020 5:47:43 AM
608,-0.055,Valid,,,8/27/2020 5:47:48 AM
598,-0.054,Valid,,,8/27/2020 5:47:52 AM
588,-0.055,Valid,,,8/27/2020 5:47:56 AM
578,-0.054,Valid,,,8/27/2020 5:48:01 AM
568,-0.054,Valid,,,8/27/2020 5:48:06 AM
558,-0.052,Valid,,,8/27/2020 5:48:11 AM
548,-0.052,Valid,,,8/27/2020 5:48:16 AM
538,-0.051,Valid,,,8/27/2020 5:48:21 AM
528,-0.051,Valid,,,8/27/2020 5:48:26 AM
518,-0.05,Valid,,,8/27/2020 5:48:32 AM
508,-0.05,Valid,,,8/27/2020 5:48:38 AM
498,-0.049,Valid,,,8/27/2020 5:48:44 AM
488,-0.049,Valid,,,8/27/2020 5:48:50 AM
478,-0.048,Valid,,,8/27/2020 5:48:56 AM
468,-0.047,Valid,,,8/27/2020 5:49:03 AM
458,-0.047,Valid,,,8/27/2020 5:49:10 AM
448,-0.047,Valid,,,8/27/2020 5:49:17 AM
